sta_id,rec_id,dep_dt,ret_dt,sta_lat,sta_lon,
BUIS_02,VR2W-114119,9/3/2011 0:00,11/26/2011 0:00,17.79901,-64.63578,
BUIS_04,VR2W-112634,9/3/2011 0:00,11/26/2011 0:00,17.78382,-64.63187,
BUIS_07,VR2W-114124,9/3/2011 0:00,11/26/2011 0:00,17.80190,-64.62100,
BUIS_12,VR2W-114122,9/3/2011 0:00,11/26/2011 0:00,17.79200,-64.61590,
BUIS_326,VR2W-114121,9/3/2011 0:00,11/26/2011 0:00,17.78120,-64.59960,
BUIS_445,VR2W-114120,9/3/2011 0:00,11/26/2011 0:00,17.79410,-64.59440,
BUIS_01,VR2W-114121,3/29/2012 0:00,7/11/2012 15:05,17.78976,-64.64280,
BUIS_02,VR2W-114119,3/29/2012 0:00,7/11/2012 12:02,17.79901,-64.63578,
BUIS_03,VR2W-114123,3/29/2012 0:00,7/11/2012 12:11,17.79241,-64.63223,
BUIS_04,VR2W-112634,3/29/2012 0:00,7/11/2012 14:50,17.78382,-64.63187,
BUIS_05,VR2W-114118,3/29/2012 0:00,7/11/2012 10:26,17.77669,-64.62184,
BUIS_06,VR2W-119925,4/6/2012 10:00,7/11/2012 12:23,17.79064,-64.62226,
BUIS_07,VR2W-114124,3/29/2012 0:00,7/11/2012 15:25,17.80190,-64.62100,
BUIS_08,VR2W-115500,3/22/2012 9:21,7/11/2012 14:37,17.78226,-64.61987,
BUIS_09,VR2W-115498,3/22/2012 13:00,7/11/2012 13:57,17.78395,-64.61938,
BUIS_10,VR2W-115501,3/22/2012 10:00,7/11/2012 14:28,17.78246,-64.61790,
BUIS_11,VR2W-115499,3/22/2012 13:30,7/11/2012 13:50,17.78422,-64.61740,
BUIS_12,VR2W-114122,3/29/2012 0:00,7/11/2012 11:45,17.79200,-64.61590,
BUIS_13,VR2W-115502,3/22/2012 11:30,7/11/2012 14:18,17.78352,-64.61468,
BUIS_14,VR2W-115503,3/22/2012 12:00,7/11/2012 14:10,17.78485,-64.61161,
BUIS_15,VR2W-114120,3/29/2012 0:00,7/11/2012 13:45,17.78778,-64.60996,
BUIS_16,VR2W-115504,3/29/2012 0:00,7/11/2012 10:54,17.77853,-64.60758,
BUIS_17,VR2W-114125,3/29/2012 0:00,7/14/2012 12:45,17.79400,-64.60480,
BUIS_01,VR2W-114121,7/13/2012 11:49,10/16/2012 11:45,17.78976,-64.64280,
BUIS_02,VR2W-114119,7/13/2012 11:34,10/16/2012 11:34,17.79901,-64.63578,
BUIS_03,VR2W-114123,7/13/2012 12:01,10/16/2012 12:50,17.79241,-64.63223,
BUIS_04,VR2W-112634,7/13/2012 14:47,10/18/2012 12:00,17.78382,-64.63187,
BUIS_05,VR2W-114118,7/13/2012 10:10,10/16/2012 10:25,17.77669,-64.62184,
BUIS_06,VR2W-119925,7/13/2012 12:14,10/16/2012 13:03,17.79064,-64.62226,
BUIS_07,VR2W-114124,7/13/2012 11:22,10/16/2012 11:24,17.80190,-64.62100,
BUIS_08,VR2W-115500,7/13/2012 14:34,10/16/2012 10:46,17.78226,-64.61987,
BUIS_09,VR2W-115498,7/13/2012 13:45,10/16/2012 11:26,17.78395,-64.61938,
BUIS_10,VR2W-115501,7/13/2012 14:21,10/16/2012 10:46,17.78246,-64.61790,
BUIS_11,VR2W-115499,7/13/2012 13:34,10/16/2012 11:30,17.78422,-64.61740,
BUIS_12,VR2W-114122,7/13/2012 11:10,10/16/2012 13:39,17.79200,-64.61590,
BUIS_13,VR2W-115502,7/13/2012 14:10,10/16/2012 10:34,17.78352,-64.61468,
BUIS_14,VR2W-115503,7/13/2012 13:57,10/16/2012 10:03,17.78485,-64.61161,
BUIS_15,VR2W-114120,7/13/2012 13:17,10/16/2012 10:16,17.78778,-64.60996,
BUIS_16,VR2W-115504,7/13/2012 10:30,10/16/2012 10:49,17.77853,-64.60758,
BUIS_17,VR2W-114125,7/14/2012 13:46,10/16/2012 11:13,17.79400,-64.60480,
BUIS_18,VR2W-120272,9/9/2012 13:00,10/18/2012 11:41,17.78254,-64.62299,
BUIS_19,VR2W-103821,9/9/2012 13:30,10/16/2012 13:22,17.78994,-64.61571,
BUIS_01,VR2W-114121,10/17/2012 14:33,1/30/2013 11:04,17.78976,-64.64280,
BUIS_02,VR2W-114119,10/17/2012 14:43,1/30/2013 14:25,17.79901,-64.63578,
BUIS_03,VR2W-114123,10/17/2012 12:30,1/30/2013 13:50,17.79241,-64.63223,
BUIS_04,VR2W-112634,10/18/2012 15:45,1/30/2013 10:43,17.78382,-64.63187,
BUIS_05,VR2W-114118,10/17/2012 14:19,1/29/2013 12:17,17.77669,-64.62184,
BUIS_06,VR2W-119925,10/17/2012 12:40,1/30/2013 13:43,17.79064,-64.62226,
BUIS_07,VR2W-114124,10/17/2012 13:17,2/7/2013 10:45,17.80190,-64.62100,
BUIS_08,VR2W-115500,10/18/2012 14:39,1/30/2013 10:06,17.78226,-64.61987,
BUIS_09,VR2W-115498,10/18/2012 14:10,1/30/2013 12:00,17.78395,-64.61938,
BUIS_10,VR2W-115501,10/18/2012 14:57,1/30/2013 11:34,17.78246,-64.61790,
BUIS_11,VR2W-115499,10/18/2012 13:37,1/30/2013 12:04,17.78422,-64.61740,
BUIS_12,VR2W-114122,10/17/2012 13:09,2/7/2013 11:30,17.79200,-64.61590,
BUIS_13,VR2W-115502,10/18/2012 15:11,1/29/2013 13:10,17.78352,-64.61468,
BUIS_14,VR2W-115503,10/18/2012 15:24,1/29/2013 12:44,17.78485,-64.61161,
BUIS_15,VR2W-114120,10/17/2012 13:01,1/30/2013 13:15,17.78778,-64.60996,
BUIS_16,VR2W-115504,10/17/2012 13:46,1/29/2013 11:47,17.77853,-64.60758,
BUIS_17,VR2W-114125,10/17/2012 14:25,3/5/2013 12:45,17.79400,-64.60480,
BUIS_18,VR2W-120272,10/18/2012 14:25,1/30/2013 10:23,17.78254,-64.62299,
BUIS_19,VR2W-103821,10/17/2012 12:54,1/30/2013 13:28,17.78994,-64.61571,
BUIS_01,VR2W-114121,1/31/2013 13:05,5/15/2013 14:06,17.78976,-64.64280,
BUIS_02,VR2W-114119,1/31/2013 13:24,6/11/2013 11:06,17.79901,-64.63578,
BUIS_03,VR2W-114123,2/1/2013 11:30,6/11/2013 11:18,17.79241,-64.63223,
BUIS_04,VR2W-112634,1/31/2013 12:50,5/15/2013 13:45,17.78382,-64.63187,
BUIS_05,VR2W-114118,1/29/2013 16:32,5/2/2013 12:41,17.77669,-64.62184,
BUIS_06,VR2W-119925,2/1/2013 11:15,6/11/2013 11:31,17.79064,-64.62226,
BUIS_07,VR2W-114124,2/7/2013 13:13,6/11/2013 10:53,17.80190,-64.62100,
BUIS_08,VR2W-115500,1/31/2013 12:22,5/15/2013 13:06,17.78226,-64.61987,
BUIS_09,VR2W-115498,1/31/2013 14:40,6/11/2013 12:00,17.78395,-64.61938,
BUIS_10,VR2W-115501,1/31/2013 11:48,5/15/2013 12:40,17.78246,-64.61790,
BUIS_11,VR2W-115499,1/31/2013 14:55,6/11/2013 12:06,17.78422,-64.61740,
BUIS_12,VR2W-114122,2/7/2013 13:03,6/11/2013 10:44,17.79200,-64.61590,
BUIS_13,VR2W-115502,1/30/2013 9:49,5/15/2013 12:17,17.78352,-64.61468,
BUIS_14,VR2W-115503,1/30/2013 9:30,5/15/2013 11:51,17.78485,-64.61161,
BUIS_15,VR2W-114120,1/31/2013 15:04,6/11/2013 11:50,17.78778,-64.60996,
BUIS_16,VR2W-115504,1/29/2013 16:13,5/2/2013 11:54,17.77853,-64.60758,
BUIS_17,VR2W-114125,3/6/2013 9:43,6/11/2013 10:30,17.79400,-64.60480,
BUIS_18,VR2W-120272,1/31/2013 12:37,5/15/2013 13:28,17.78254,-64.62299,
BUIS_19,VR2W-103821,1/31/2013 15:23,6/11/2013 11:41,17.78994,-64.61571,
BUIS_01,VR2W-114121,5/16/2013 15:21,11/12/2013 15:14,17.78976,-64.64280,
BUIS_02,VR2W-114119,6/14/2013 11:32,11/14/2013 16:33,17.79901,-64.63578,
BUIS_03,VR2W-114123,6/14/2013 11:41,11/12/2013 15:05,17.79241,-64.63223,
BUIS_04,VR2W-112634,5/16/2013 14:47,11/12/2013 14:58,17.78382,-64.63187,
BUIS_05,VR2W-114118,5/2/2013 14:20,11/12/2013 13:17,17.77669,-64.62184,
BUIS_06,VR2W-119925,6/14/2013 11:48,11/14/2013 14:38,17.79064,-64.62226,
BUIS_07,VR2W-114124,6/14/2013 11:22,11/12/2013 14:18,17.80190,-64.62100,
BUIS_08,VR2W-115500,5/16/2013 14:01,10/29/2013 15:10,17.78226,-64.61987,
BUIS_09,VR2W-115498,6/14/2013 12:13,10/29/2013 15:37,17.78395,-64.61938,
BUIS_10,VR2W-115501,5/16/2013 12:50,10/29/2013 14:43,17.78246,-64.61790,
BUIS_11,VR2W-115499,6/14/2013 12:09,10/29/2013 15:44,17.78422,-64.61740,
BUIS_12,VR2W-114122,6/14/2013 11:13,11/12/2013 10:25,17.79200,-64.61590,
BUIS_13,VR2W-115502,5/16/2013 12:24,11/12/2013 10:00,17.78352,-64.61468,
BUIS_14,VR2W-115503,5/16/2013 12:00,11/12/2013 11:08,17.78485,-64.61161,
BUIS_15,VR2W-114120,6/14/2013 12:04,11/12/2013 9:00,17.78778,-64.60996,
BUIS_16,VR2W-115504,5/2/2013 13:55,11/12/2013 12:57,17.77853,-64.60758,
BUIS_17,VR2W-114125,6/14/2013 11:06,11/12/2013 10:35,17.79400,-64.60480,
BUIS_18,VR2W-120272,5/16/2013 14:22,11/12/2013 14:40,17.78254,-64.62299,
BUIS_19,VR2W-103821,6/14/2013 11:57,11/12/2013 10:19,17.78994,-64.61571,
BUIS_20,VR2W-107320,7/1/2013 15:01,10/30/2013 14:42,17.80537,-64.63568,
BUIS_21,VR2W-108147,7/1/2013 12:10,10/31/2013 9:47,17.79442,-64.64261,
BUIS_22,VR2W-110210,5/24/2013 14:41,10/31/2013 10:08,17.78970,-64.64665,
BUIS_23,VR2W-102917,5/24/2013 15:29,10/31/2013 10:29,17.78490,-64.65096,
BUIS_24,VR2W-110211,7/1/2013 11:30,10/30/2013 13:30,17.79290,-64.63997,
BUIS_25,VR2W-103707,5/20/2013 15:32,10/30/2013 15:58,17.78337,-64.64498,
BUIS_26,VR2W-110208,4/29/2013 15:20,10/30/2013 13:24,17.78245,-64.63773,
BUIS_27,VR2W-103711,5/20/2013 13:04,10/31/2013 15:30,17.78686,-64.63492,
BUIS_28,VR2W-110206,5/7/2013 15:07,11/3/2013 12:47,17.78951,-64.63139,
BUIS_29,VR2W-110202,7/2/2013 10:14,11/3/2013 13:11,17.80089,-64.62901,
BUIS_30,VR2W-107319,7/1/2013 10:23,11/3/2013 13:30,17.79609,-64.62391,
BUIS_31,VR2W-110207,7/1/2013 9:40,11/3/2013 12:53,17.79300,-64.62905,
BUIS_32,VR2W-102800,7/1/2013 9:17,11/3/2013 12:58,17.79075,-64.62730,
BUIS_33,VR2W-103210,4/29/2013 14:45,10/31/2013 15:36,17.78783,-64.62873,
BUIS_34,VR2W-110205,5/9/2013 14:05,10/30/2013 13:00,17.77822,-64.63167,
BUIS_35,VR2W-108145,4/29/2013 13:30,10/31/2013 15:50,17.78454,-64.62530,
BUIS_36,VR2W-103710,4/29/2013 12:48,11/12/2013 9:00,17.78555,-64.61410,
BUIS_37,VR2W-104938,5/9/2013 14:50,10/29/2013 11:57,17.77585,-64.61475,
BUIS_38,VR2W-102914,7/2/2013 16:00,10/29/2013 12:21,17.77951,-64.61807,
BUIS_39,VR2W-110209,7/2/2013 13:30,10/29/2013 11:03,17.78141,-64.60261,
BUIS_40,VR2W-108146,7/3/2013 10:15,10/30/2013 15:01,17.79670,-64.63983,
BUIS_41,VR2W-110204,7/2/2013 12:28,10/30/2013 15:39,17.78724,-64.63976,
BUIS_42,VR2W-102913,7/2/2013 14:06,10/29/2013 13:21,17.78282,-64.60882,
BUIS_43,VR2W-102916,7/1/2013 15:58,10/28/2013 13:45,17.77423,-64.60254,
BUIS_01,VR2W-114121,11/13/2013 14:00,3/19/2014 10:59,17.78976,-64.64280,
BUIS_02,VR2W-114119,11/14/2013 17:00,3/17/2014 11:26,17.79901,-64.63578,
BUIS_03,VR2W-114123,11/13/2013 13:54,3/12/2014 10:38,17.79241,-64.63223,
BUIS_04,VR2W-112634,11/13/2013 14:07,3/20/2014 10:01,17.78382,-64.63187,
BUIS_05,VR2W-114118,11/13/2013 15:31,3/20/2014 9:29,17.77670,-64.62232,
BUIS_06,VR2W-119925,11/14/2013 15:00,3/12/2014 11:00,17.79064,-64.62226,
BUIS_07,VR2W-114124,11/13/2013 11:26,3/14/2014 10:55,17.80190,-64.62100,
BUIS_08,VR2W-115500,10/30/2013 11:38,3/13/2014 12:41,17.78226,-64.61987,
BUIS_09,VR2W-115498,10/30/2013 11:46,3/11/2014 11:51,17.78395,-64.61938,
BUIS_10,VR2W-115501,10/30/2013 11:29,3/13/2014 12:16,17.78246,-64.61790,
BUIS_11,VR2W-115499,10/30/2013 11:48,3/11/2014 12:03,17.78422,-64.61740,
BUIS_12,VR2W-114122,11/13/2013 11:38,3/17/2014 10:26,17.79200,-64.61590,
BUIS_13,VR2W-115502,11/13/2013 12:07,3/13/2014 11:48,17.78352,-64.61468,
BUIS_14,VR2W-115503,11/13/2013 12:00,3/13/2014 10:19,17.78485,-64.61161,
BUIS_15,VR2W-114120,11/13/2013 12:24,3/11/2014 12:22,17.78778,-64.60996,
BUIS_16,VR2W-115504,11/13/2013 1:00,3/18/2014 10:59,17.77853,-64.60758,
BUIS_17,VR2W-114125,11/13/2013 11:47,3/17/2014 10:10,17.79400,-64.60480,
BUIS_18,VR2W-120272,11/13/2013 14:20,3/18/2014 12:24,17.78254,-64.62299,
BUIS_19,VR2W-103821,11/13/2013 13:37,3/11/2014 12:38,17.78994,-64.61571,
BUIS_20,VR2W-107320,10/31/2013 12:26,3/17/2014 11:05,17.80537,-64.63568,
BUIS_21,VR2W-108147,11/3/2013 11:49,3/19/2014 9:48,17.79442,-64.64261,
BUIS_22,VR2W-110210,11/3/2013 11:28,3/19/2014 10:08,17.78970,-64.64665,
BUIS_23,VR2W-104619,11/14/2013 10:31,3/19/2014 10:26,17.78490,-64.65096,
BUIS_24,VR2W-110211,10/31/2013 11:09,3/19/2014 11:12,17.79290,-64.63997,
BUIS_25,VR2W-103707,10/31/2013 11:31,3/19/2014 10:42,17.78337,-64.64498,
BUIS_26,VR2W-110208,10/31/2013 13:46,3/20/2014 10:19,17.78245,-64.63773,
BUIS_27,VR2W-103711,11/3/2013 12:15,3/14/2014 11:10,17.78686,-64.63492,
BUIS_28,VR2W-110206,11/4/2013 12:20,3/12/2014 10:30,17.78951,-64.63139,
BUIS_29,VR2W-110202,11/4/2013 11:26,3/14/2014 10:44,17.80089,-64.62901,
BUIS_30,VR2W-107319,11/4/2013 11:37,3/17/2014 10:44,17.79609,-64.62391,
BUIS_31,VR2W-110207,11/4/2013 12:03,3/12/2014 10:46,17.79300,-64.62905,
BUIS_32,VR2W-102800,11/4/2013 12:13,3/12/2014 10:53,17.79075,-64.62730,
BUIS_33,VR2W-103210,11/3/2013 13:58,3/12/2014 10:20,17.78783,-64.62873,
BUIS_34,VR2W-110205,10/31/2013 14:08,3/20/2014 9:47,17.77822,-64.63167,
BUIS_35,VR2W-108145,11/3/2013 14:08,3/12/2014 10:12,17.78454,-64.62530,
BUIS_36,VR2W-103710,11/13/2013 12:16,3/11/2014 12:14,17.78555,-64.61410,
BUIS_37,VR2W-104938,10/30/2013 11:07,3/18/2014 11:45,17.77585,-64.61475,
BUIS_38,VR2W-104622,11/14/2013 11:09,3/18/2014 12:08,17.77951,-64.61807,
BUIS_39,VR2W-110209,10/30/2013 10:15,3/18/2014 10:07,17.78141,-64.60261,
BUIS_40,VR2W-108146,10/31/2013 12:51,3/17/2014 11:45,17.79670,-64.63983,
BUIS_41,VR2W-110204,10/31/2013 11:20,3/20/2014 10:32,17.78724,-64.63976,
BUIS_42,VR2W-102913,10/30/2013 9:52,3/18/2014 11:23,17.78282,-64.60882,
BUIS_43,VR2W-102916,10/29/2013 10:21,3/18/2014 10:33,17.77423,-64.60254,
BUIS_01,VR2W-104620,3/19/2014 13:45,7/8/2014 10:11,17.78976,-64.64280,
BUIS_02,VR2W-104621,3/17/2014 14:27,7/2/2014 11:06,17.79901,-64.63578,
BUIS_03,VR2W-114123,3/12/2014 15:00,6/26/2014 10:53,17.79241,-64.63223,
BUIS_04,VR2W-102917,3/20/2014 14:36,7/8/2014 10:41,17.78382,-64.63187,
BUIS_05,VR2W-102914,3/20/2014 12:34,7/1/2014 10:37,17.77670,-64.62232,
BUIS_06,VR2W-119925,3/12/2014 14:36,6/26/2014 10:23,17.79064,-64.62226,
BUIS_07,VR2W-114124,3/14/2014 13:46,6/27/2014 10:39,17.80190,-64.62100,
BUIS_08,VR2W-115500,3/13/2014 15:07,7/7/2014 11:18,17.78226,-64.61987,
BUIS_09,VR2W-115498,3/11/2014 15:55,6/26/2014 9:31,17.78395,-64.61938,
BUIS_10,VR2W-115501,3/13/2014 15:22,7/1/2014 12:14,17.78246,-64.61790,
BUIS_11,VR2W-115499,3/11/2014 15:48,6/26/2014 9:37,17.78422,-64.61740,
BUIS_12,VR2W-114122,3/17/2014 14:46,6/27/2014 10:53,17.79200,-64.61590,
BUIS_13,VR2W-115502,3/13/2014 15:38,7/1/2014 11:48,17.78352,-64.61468,
BUIS_14,VR2W-115503,3/13/2014 11:08,7/1/2014 11:28,17.78485,-64.61161,
BUIS_15,VR2W-114120,3/11/2014 15:14,3/12/2014 11:45,17.78778,-64.60996,
BUIS_15,VR2W-104088,3/12/2014 14:29,6/26/2014 10:01,17.78778,-64.60996,
BUIS_16,VR2W-115504,3/18/2014 15:34,6/30/2014 10:55,17.77853,-64.60758,
BUIS_17,VR2W-114125,3/17/2014 15:27,7/2/2014 9:43,17.79400,-64.60480,
BUIS_18,VR2W-120273,3/18/2014 16:11,7/7/2014 11:36,17.78254,-64.62299,
BUIS_19,VR2W-103821,3/11/2014 14:55,6/26/2014 10:11,17.78994,-64.61571,
BUIS_20,VR2W-107320,3/17/2014 13:52,7/2/2014 11:29,17.80537,-64.63568,
BUIS_21,VR2W-108147,3/19/2014 13:28,7/3/2014 10:33,17.79442,-64.64261,
BUIS_22,VR2W-110210,3/19/2014 13:46,7/3/2014 10:58,17.78970,-64.64665,
BUIS_23,VR2W-104619,3/19/2014 14:05,7/3/2014 11:18,17.78490,-64.65096,
BUIS_24,VR2W-110211,3/19/2014 13:17,6/30/2014 12:29,17.79290,-64.63997,
BUIS_25,VR2W-103707,3/19/2014 14:25,7/8/2014 9:34,17.78337,-64.64498,
BUIS_26,VR2W-110208,3/20/2014 14:05,7/8/2014 9:20,17.78245,-64.63773,
BUIS_27,VR2W-103711,3/14/2014 14:12,6/27/2014 10:14,17.78686,-64.63492,
BUIS_28,VR2W-110206,3/12/2014 15:08,6/26/2014 11:00,17.78951,-64.63139,
BUIS_29,VR2W-110202,3/14/2014 14:00,6/27/2014 10:26,17.80089,-64.62901,
BUIS_30,VR2W-107319,3/17/2014 14:58,7/2/2014 10:16,17.79609,-64.62391,
BUIS_31,VR2W-110207,3/12/2014 14:51,6/26/2014 10:44,17.79300,-64.62905,
BUIS_32,VR2W-104623,3/13/2014 14:31,6/26/2014 10:35,17.79075,-64.62730,
BUIS_33,VR2W-103210,3/12/2014 15:16,6/26/2014 11:08,17.78783,-64.62873,
BUIS_34,VR2W-110205,3/20/2014 12:58,7/7/2014 10:40,17.77822,-64.63167,
BUIS_35,VR2W-120967,3/12/2014 15:28,6/27/2014 10:03,17.78454,-64.62530,
BUIS_36,VR2W-103710,3/11/2014 15:40,6/26/2014 9:53,17.78555,-64.61410,
BUIS_37,VR2W-124583,3/24/2014 11:44,7/1/2014 10:59,17.77585,-64.61475,
BUIS_38,VR2W-104622,3/18/2014 15:56,7/7/2014 10:03,17.77951,-64.61807,
BUIS_39,VR2W-110209,3/18/2014 15:05,6/30/2014 11:21,17.78141,-64.60261,
BUIS_40,VR2W-108146,3/17/2014 14:12,7/3/2014 10:12,17.79670,-64.63983,
BUIS_41,VR2W-110204,3/20/2014 14:24,7/8/2014 10:26,17.78724,-64.63976,
BUIS_42,VR2W-102913,3/18/2014 15:13,6/30/2014 11:45,17.78282,-64.60882,
BUIS_43,VR2W-102916,3/18/2014 14:38,6/30/2014 10:29,17.77423,-64.60254,
BUIS_44,VR2W-124586,3/24/2014 13:53,7/7/2014 11:00,17.78125,-64.62357,
BUIS_45,VR2W-124588,3/24/2014 14:29,7/7/2014 10:21,17.77962,-64.62423,
BUIS_46,VR2W-124585,3/25/2014 11:44,7/1/2014 9:56,17.77813,-64.62523,
BUIS_47,VR2W-124584,3/25/2014 12:29,7/8/2014 9:02,17.78033,-64.64191,
BUIS_48,VR2W-124580,3/25/2014 13:44,7/8/2014 9:50,17.78682,-64.64481,
BUIS_49,VR2W-124589,3/24/2014 12:23,6/30/2014 12:05,17.78058,-64.61318,
BUIS_50,VR2W-124581,3/25/2014 15:11,7/2/2014 10:44,17.79328,-64.62435,
BUIS_51,VR2W-124587,3/26/2014 10:31,7/2/2014 10:31,17.79450,-64.62527,
BUIS_52,VR2W-124582,3/26/2014 11:18,7/2/2014 10:01,17.79881,-64.62295,
BUIS_01,VR2W-104620,7/8/2014 14:31,10/27/2014 11:42,17.78976,-64.64280,
BUIS_02,VR2W-104621,7/3/2014 9:50,10/27/2014 10:39,17.79901,-64.63578,
BUIS_03,VR2W-103710,6/26/2014 14:39,10/23/2014 10:14,17.79241,-64.63223,
BUIS_04,VR2W-103707,7/8/2014 15:01,10/27/2014 12:31,17.78382,-64.63187,
BUIS_05,VR2W-102914,7/1/2014 15:03,10/22/2014 12:19,17.77670,-64.62232,
BUIS_06,VR2W-104088,6/26/2014 14:58,10/23/2014 10:00,17.79064,-64.62226,
BUIS_07,VR2W-114122,6/27/2014 13:14,10/23/2014 10:45,17.80190,-64.62100,
BUIS_08,VR2W-115500,7/7/2014 15:40,10/21/2014 14:18,17.78226,-64.61987,
BUIS_09,VR2W-115499,6/26/2014 15:26,10/23/2014 9:16,17.78395,-64.61938,
BUIS_10,VR2W-115501,7/1/2014 16:02,10/21/2014 13:47,17.78246,-64.61790,
BUIS_11,VR2W-114123,6/26/2014 15:31,10/23/2014 9:22,17.78422,-64.61740,
BUIS_12,VR2W-120967,6/27/2014 13:05,10/23/2014 9:51,17.79200,-64.61590,
BUIS_13,VR2W-115502,7/1/2014 15:52,10/21/2014 13:15,17.78352,-64.61468,
BUIS_14,VR2W-115503,7/1/2014 15:40,10/21/2014 12:34,17.78485,-64.61161,
BUIS_15,VR2W-110206,6/26/2014 15:12,10/23/2014 9:34,17.78778,-64.60996,
BUIS_16,VR2W-115504,6/30/2014 15:21,10/21/2014 11:16,17.77853,-64.60758,
BUIS_17,VR2W-114125,7/3/2014 9:25,10/23/2014 10:38,17.79400,-64.60480,
BUIS_18,VR2W-120273,7/7/2014 15:53,10/21/2014 15:05,17.78254,-64.62299,
BUIS_19,VR2W-119925,6/26/2014 15:05,10/23/2014 9:44,17.78994,-64.61571,
BUIS_20,VR2W-107320,7/2/2014 14:25,10/24/2014 11:03,17.80537,-64.63568,
BUIS_21,VR2W-108147,7/3/2014 14:05,10/24/2014 10:37,17.79442,-64.64261,
BUIS_22,VR2W-110210,7/3/2014 13:47,10/24/2014 10:13,17.78970,-64.64665,
BUIS_23,VR2W-104619,7/3/2014 13:31,10/24/2014 9:48,17.78490,-64.65096,
BUIS_24,VR2W-110211,6/30/2014 16:28,10/27/2014 11:24,17.79290,-64.63997,
BUIS_25,VR2W-124580,7/8/2014 14:07,10/27/2014 13:58,17.78337,-64.64498,
BUIS_26,VR2W-124584,7/8/2014 13:50,10/27/2014 10:11,17.78245,-64.63773,
BUIS_27,VR2W-103711,6/27/2014 13:33,10/27/2014 12:56,17.78686,-64.63492,
BUIS_28,VR2W-110207,6/26/2014 14:29,10/23/2014 10:21,17.78951,-64.63139,
BUIS_29,VR2W-110202,6/27/2014 13:21,10/23/2014 10:52,17.80089,-64.62901,
BUIS_30,VR2W-120272,7/2/2014 14:42,10/24/2014 12:32,17.79609,-64.62391,
BUIS_31,VR2W-103210,6/26/2014 14:43,10/23/2014 10:08,17.79300,-64.62905,
BUIS_32,VR2W-115498,6/26/2014 14:50,10/23/2014 10:04,17.79075,-64.62730,
BUIS_33,VR2W-103821,6/26/2014 14:22,10/23/2014 10:26,17.78783,-64.62873,
BUIS_34,VR2W-110205,7/7/2014 15:06,10/22/2014 14:00,17.77822,-64.63167,
BUIS_35,VR2W-114124,6/27/2014 13:45,10/21/2014 15:36,17.78454,-64.62530,
BUIS_36,VR2W-104623,6/26/2014 15:18,10/23/2014 9:28,17.78555,-64.61410,
BUIS_37,VR2W-124583,7/1/2014 15:21,10/22/2014 11:32,17.77585,-64.61475,
BUIS_38,VR2W-124588,7/7/2014 14:33,10/21/2014 11:47,17.77951,-64.61807,
BUIS_39,VR2W-110209,6/30/2014 15:38,10/22/2014 10:03,17.78141,-64.60261,
